證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,外資買賣超合計,資料日期
00403A,主動統一升級50  ,252533131,16250650,236282481,0,0,0,0,0,0,159481440,0,0,0,207568440,48087000,159481440,395763921,236282481,20260922
2409,友達            ,377538286,132224327,245313959,0,0,0,0,42863,-42863,5213522,3370482,1554135,1816347,8923180,5526005,3397175,250484618,245313959,20260922
00409A,主動復華全球50  ,122455000,1372000,121083000,0,0,0,0,0,0,32784723,0,0,0,36031950,3247227,32784723,153867723,121083000,20260922
00981A,主動統一台股增長,129424726,26532365,102892361,0,0,0,0,0,0,45079230,3042596,430000,2612596,59425670,16959036,42466634,147971591,102892361,20260922
00405A,主動富邦台灣龍耀,91640005,6394800,85245205,0,0,0,0,0,0,41054374,0,0,0,66526551,25472177,41054374,126299579,85245205,20260922
00407A,主動凱基台灣    ,35398000,2675198,32722802,0,0,0,0,0,0,88533874,0,0,0,108769874,20236000,88533874,121256676,32722802,20260922
00631L,元大台灣50正2   ,14800345,14755000,45345,0,0,0,0,0,0,72945844,245000,10000,235000,86075584,13364740,72710844,72991189,45345,20260922
00685L,群益臺灣加權正2 ,6336000,7661000,-1325000,0,0,0,0,0,0,61661440,0,3782000,-3782000,104317336,38873896,65443440,60336440,-1325000,20260922
2303,聯電            ,135123883,84578708,50545175,0,0,0,8806000,948112,7857888,1700945,2295849,1335000,960849,1599645,859549,740096,60104008,50545175,20260922
00991A,主動復華未來50  ,50004100,6981835,43022265,0,0,0,0,0,0,11684227,150000,0,150000,21491374,9957147,11534227,54706492,43022265,20260922
