證券代號,證券名稱,融資今日餘額,融資前日餘額,融資增減,融券今日餘額,融券前日餘額,融券增減,券資比
00400A,主動國泰動能高息,8598,9463,-865,0,1,-1,0.0
00401A,主動摩根台灣鑫收,1717,1583,134,0,0,0,0.0
00402A,主動安聯美國科技,1363,1763,-400,1,1,0,0.07
00403A,主動統一升級50,87956,88679,-723,4363,4619,-256,4.96
00404A,主動聯博動能50,2730,2067,663,0,0,0,0.0
00405A,主動富邦台灣龍耀,21071,21349,-278,733,655,78,3.48
00406A,主動中信台灣收益,44334,42472,1862,605,129,476,1.36
00407A,主動凱基台灣,20333,28294,-7961,362,509,-147,1.78
00408A,主動第一金優股息,518,178,340,2,2,0,0.39
00409A,主動復華全球50,5942,5744,198,2,5,-3,0.03
00410A,主動永豐科技趨勢,4103,3946,157,3,3,0,0.07
0050,元大台灣50,17697,17038,659,634,691,-57,3.58
0051,元大中型100,3,3,0,0,0,0,0.0
0052,富邦科技,8337,8310,27,40,52,-12,0.48
0053,元大電子,17,17,0,0,0,0,0.0
0055,元大MSCI金融,202,211,-9,6,6,0,2.97
0056,元大高股息,3340,3399,-59,209,227,-18,6.26
0057,富邦摩台,0,0,0,0,0,0,0.0
0061,元大寶滬深,21,21,0,0,0,0,0.0
006203,元大MSCI台灣,2,2,0,0,0,0,0.0
006204,永豐臺灣加權,0,0,0,0,0,0,0.0
006205,富邦上証,75,87,-12,0,0,0,0.0
006206,元大上證50,8,8,0,0,0,0,0.0
006207,復華滬深,2,2,0,0,0,0,0.0
006208,富邦台50,256,256,0,5,5,0,1.95
00631L,元大台灣50正2,181027,176102,4925,20507,22099,-1592,11.33
00632R,元大台灣50反1,285040,291500,-6460,5633,5631,2,1.98
00633L,富邦上証正2,8288,8159,129,601,592,9,7.25
00634R,富邦上証反1,2179,2178,1,0,0,0,0.0
00635U,期元大S&P黃金,7436,7545,-109,228,227,1,3.07
00636,國泰中國A50,187,187,0,0,0,0,0.0
00637L,元大滬深300正2,89284,89725,-441,5659,5646,13,6.34
00638R,元大滬深300反1,828,828,0,4,4,0,0.48
00639,富邦深100,388,388,0,8,8,0,2.06
00640L,富邦日本正2,167,157,10,36,36,0,21.56
00641R,富邦日本反1,9838,9776,62,575,571,4,5.84
00642U,期元大S&P石油,2187,2040,147,1423,1348,75,65.07
00643,群益深証中小,486,486,0,0,0,0,0.0
00645,富邦日本,39,39,0,0,0,0,0.0
00646,元大S&P500,68,68,0,2,2,0,2.94
00647L,元大S&P500正2,42,41,1,0,0,0,0.0
00648R,元大S&P500反1,10513,10308,205,102,102,0,0.97
00650L,復華香港正2,11661,11590,71,844,997,-153,7.24
00651R,復華香港反1,1402,1432,-30,56,56,0,3.99
00652,富邦印度,43,45,-2,0,0,0,0.0
00653L,富邦印度正2,2221,2215,6,0,0,0,0.0
00654R,富邦印度反1,605,618,-13,62,62,0,10.25
00655L,國泰中國A50正2,2143,2231,-88,209,209,0,9.75
00656R,國泰中國A50反1,132,132,0,0,0,0,0.0
00657,國泰日經225,0,0,0,0,0,0,0.0
00660,元大歐洲50,0,0,0,0,0,0,0.0
00661,元大日經225,7,7,0,0,0,0,0.0
00662,富邦NASDAQ,1706,1708,-2,1,1,0,0.06
00663L,國泰臺灣加權正2,8559,8436,123,1552,1639,-87,18.13
00664R,國泰臺灣加權反1,73430,72502,928,447,545,-98,0.61
00665L,富邦恒生國企正2,56046,55708,338,292,503,-211,0.52
00666R,富邦恒生國企反1,688,688,0,7,7,0,1.02
00668,國泰美國道瓊,2,2,0,0,0,0,0.0
00669R,國泰美國道瓊反1,13738,13526,212,62,60,2,0.45
00670L,富邦NASDAQ正2,1271,1291,-20,172,171,1,13.53
00671R,富邦NASDAQ反1,119268,119287,-19,2477,2497,-20,2.08
00673R,期元大S&P原油反1,110604,107930,2674,2172,2172,0,1.96
00674R,期元大S&P黃金反1,120,118,2,6,7,-1,5.0
00675L,富邦臺灣加權正2,2578,2570,8,291,299,-8,11.29
00676R,富邦臺灣加權反1,27690,27544,146,138,147,-9,0.5
00678,群益那斯達克生技,9,10,-1,0,0,0,0.0
00680L,元大美債20正2,66501,65365,1136,404,411,-7,0.61
00681R,元大美債20反1,3,3,0,0,0,0,0.0
00682U,期元大美元指數,3,4,-1,0,0,0,0.0
00683L,期元大美元指正2,65,65,0,0,0,0,0.0
00684R,期元大美元指反1,21,21,0,0,0,0,0.0
00685L,群益臺灣加權正2,156852,148721,8131,14755,17694,-2939,9.41
00686R,群益臺灣加權反1,17371,17610,-239,92,92,0,0.53
00688L,國泰20年美債正2,26426,26131,295,17,17,0,0.06
00689R,國泰20年美債反1,0,0,0,0,0,0,0.0
00690,兆豐藍籌30,73,71,2,0,0,0,0.0
00692,富邦公司治理,47,47,0,0,0,0,0.0
00693U,期街口S&P黃豆,2242,2349,-107,21,22,-1,0.94
00700,富邦恒生國企,140,144,-4,0,0,0,0.0
00701,國泰股利精選30,13,13,0,0,0,0,0.0
00702,國泰標普低波高息,1,1,0,0,0,0,0.0
00703,台新MSCI中國,1,1,0,0,0,0,0.0
00706L,期元大S&P日圓正2,2866,2865,1,563,566,-3,19.64
00707R,期元大S&P日圓反1,0,0,0,0,0,0,0.0
00708L,期元大S&P黃金正2,21674,21679,-5,612,619,-7,2.82
00709,富邦歐洲,2,2,0,0,0,0,0.0
00710B,復華彭博非投等債,1,1,0,0,0,0,0.0
00711B,復華彭博新興債,3,3,0,0,0,0,0.0
00712,復華富時不動產,19755,19131,624,0,0,0,0.0
00713,元大台灣高息低波,360,369,-9,0,0,0,0.0
00714,群益道瓊美國地產,31,31,0,0,0,0,0.0
00715L,期街口布蘭特正2,5465,5799,-334,5742,5815,-73,105.07
00717,富邦美國特別股,0,0,0,0,0,0,0.0
00728,第一金工業30,59,54,5,0,0,0,0.0
00730,富邦臺灣優質高息,1,1,0,0,0,0,0.0
00731,復華富時高息低波,1,1,0,0,0,0,0.0
00733,富邦臺灣中小,38,40,-2,0,0,0,0.0
00735,國泰臺韓科技,5028,5015,13,443,447,-4,8.81
00736,國泰新興市場,0,0,0,0,0,0,0.0
00737,國泰AI機器人,50,51,-1,0,0,0,0.0
00738U,期元大道瓊白銀,18129,14095,4034,401,405,-4,2.21
00739,元大MSCI A股,0,1,-1,0,0,0,0.0
00752,中信中國50,363,379,-16,2,2,0,0.55
00753L,中信中國50正2,73530,72522,1008,902,882,20,1.23
00757,統一FANG+,258,292,-34,3,3,0,1.16
00762,元大全球AI,82,82,0,0,0,0,0.0
00763U,期街口道瓊銅,2120,2171,-51,8,1,7,0.38
00770,國泰北美科技,153,151,2,0,0,0,0.0
00771,元大US高息特別股,1,1,0,0,0,0,0.0
00775B,台新投等債15+,0,0,0,0,0,0,0.0
00783,富邦中証500,337,338,-1,0,0,0,0.0
00830,國泰費城半導體,7966,8215,-249,288,293,-5,3.62
00850,元大臺灣ESG永續,13,13,0,0,0,0,0.0
00851,台新全球AI,1,1,0,0,0,0,0.0
00852L,國泰美國道瓊正2,146,132,14,54,54,0,36.99
00861,元大全球未來通訊,35,35,0,0,0,0,0.0
00865B,國泰US短期公債,16,12,4,0,0,0,0.0
00875,國泰網路資安,10,10,0,0,0,0,0.0
00876,元大全球5G,12,12,0,0,0,0,0.0
00878,國泰永續高股息,3527,3593,-66,107,106,1,3.03
00881,國泰台灣科技龍頭,7547,7533,14,8,8,0,0.11
00882,中信中國高股息,2851,2858,-7,5,5,0,0.18
00885,富邦越南,2284,2282,2,128,128,0,5.6
00891,中信關鍵半導體,5881,6058,-177,29,32,-3,0.49
00892,富邦台灣半導體,1108,1122,-14,8,16,-8,0.72
00893,國泰智能電動車,94,93,1,18,18,0,19.15
00894,中信小資高價30,327,308,19,0,0,0,0.0
00895,富邦未來車,79,84,-5,8,8,0,10.13
00896,中信綠能及電動車,1986,1877,109,0,10,-10,0.0
00897,富邦基因免疫生技,173,181,-8,0,0,0,0.0
00898,國泰基因免疫革命,404,839,-435,0,0,0,0.0
00899,FT潔淨能源,49,51,-2,0,0,0,0.0
00900,富邦特選高股息30,214,212,2,0,0,0,0.0
00901,永豐智能車供應鏈,1,1,0,0,0,0,0.0
00902,中信電池及儲能,2498,2477,21,4,5,-1,0.16
00903,富邦元宇宙,16,16,0,0,0,0,0.0
00904,台新臺灣半導體30,359,380,-21,0,0,0,0.0
00905,FT臺灣Smart,331,328,3,0,0,0,0.0
00907,永豐優息存股,87,87,0,0,0,0,0.0
00908,富邦入息REITs+,0,0,0,0,0,0,0.0
00909,國泰數位支付服務,942,1034,-92,4,7,-3,0.42
00910,第一金太空衛星,1805,1822,-17,2,2,0,0.11
00911,兆豐洲際半導體,238,240,-2,1,1,0,0.42
00912,中信臺灣智慧50,15,15,0,0,0,0,0.0
00913,兆豐台灣晶圓製造,676,676,0,1,1,0,0.15
00915,凱基優選高股息30,101,97,4,0,0,0,0.0
00916,國泰全球品牌50,456,456,0,0,0,0,0.0
00917,中信特選金融,106,106,0,0,0,0,0.0
00918,大華優利高填息30,16831,16717,114,5,29,-24,0.03
00919,群益台灣精選高息,16735,16639,96,0,6,-6,0.0
00920,富邦ESG綠色電力,15,16,-1,0,0,0,0.0
00921,兆豐龍頭等權重,158,149,9,0,0,0,0.0
00922,國泰台灣領袖50,1193,1864,-671,11,10,1,0.92
00923,群益台ESG低碳50,1483,1502,-19,0,0,0,0.0
00924,復華S&P500成長,30,29,1,0,0,0,0.0
