Date,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
1150918,00400A,主動國泰動能高息,36138014,538660510,14,15,14,15,0.43,6037
1150918,00401A,主動摩根台灣鑫收,5191049,73482736,14,14,14,14,0.27,900
1150918,00402A,主動安聯美國科技,6392489,61397228,9,9,9,9,0.1,990
1150918,00403A,主動統一升級50,316017832,3246287042,10,10,10,10,0.32,41164
1150918,00404A,主動聯博動能50,14109627,136425540,9,9,9,9,0.19,1588
1150918,00405A,主動富邦台灣龍耀,111809132,978198322,8,8,8,8,0.44,23681
1150918,00406A,主動中信台灣收益,202589259,1929954922,9,9,9,9,0.28,23575
1150918,00407A,主動凱基台灣,51795274,498583040,9,9,9,9,0.35,5676
1150918,00408A,主動第一金優股息,1854224,19109396,10,10,10,10,0.19,282
1150918,00409A,主動復華全球50,22181158,215550856,9,9,9,9,0.25,2337
1150918,00410A,主動永豐科技趨勢,7071566,84585312,11,12,11,12,0.42,1033
1150918,0050,元大台灣50,86731065,9490829221,109,109,108,109,1.8,75962
1150918,0051,元大中型100,68992,10032698,145,146,144,145,1.85,451
1150918,0052,富邦科技,16624775,1056460486,63,63,63,63,1.1,12214
1150918,0053,元大電子,91819,22533512,244,246,244,246,4.85,1095
1150918,0055,元大MSCI金融,1767396,88428796,51,51,49,50,-0.7,4260
1150918,0056,元大高股息,19305390,1094784801,57,57,56,56,0.55,18441
1150918,0057,富邦摩台,44703,14531957,325,327,323,325,1.55,922
1150918,0061,元大寶滬深,81819,1962045,23,24,23,24,0.25,124
1150918,006203,元大MSCI台灣,21463,4240987,197,198,197,198,2.7,325
1150918,006204,永豐臺灣加權,22268,5220408,234,234,234,234,2.2,88
1150918,006205,富邦上証,159827,6401426,39,40,39,40,0.3,191
1150918,006206,元大上證50,16933,632043,37,37,37,37,0.15,122
1150918,006207,復華滬深,214166,6844632,31,32,31,32,0.32,63
1150918,006208,富邦台50,3712651,930300304,250,251,249,251,3.8,9528
1150918,00625K,富邦上証+R,0,0,0,0,0,0,0.0,0
1150918,00631L,元大台灣50正2,196288375,7325460407,37,37,36,37,1.24,54841
1150918,00632R,元大台灣50反1,133872609,1299478264,9,9,9,9,-0.17,16973
1150918,00633L,富邦上証正2,1556349,73630967,46,47,46,47,0.82,372
1150918,00634R,富邦上証反1,12901,40795,3,3,3,3,-0.02,12
1150918,00635U,期元大S&P黃金,2623875,117914061,44,45,44,45,0.78,1948
1150918,00636,國泰中國A50,180147,4910721,27,27,27,27,0.13,208
1150918,00636K,國泰中國A50+U,200,1718,8,8,8,8,0.05,2
1150918,00637L,元大滬深300正2,15220643,295997505,19,19,19,19,0.29,1952
1150918,00638R,元大滬深300反1,239500,1617490,6,6,6,6,-0.07,9
1150918,00639,富邦深100,237860,3807090,15,16,15,16,0.17,221
1150918,00640L,富邦日本正2,32580,3495882,106,108,106,107,0.9,52
1150918,00641R,富邦日本反1,2810900,10302982,3,3,3,3,-0.02,73
1150918,00642U,期元大S&P石油,1829340,60554700,33,33,33,33,-0.34,822
1150918,00643,群益深証中小,2242791,40551738,17,18,17,18,0.18,145
1150918,00643K,群益深証中小+R,10000,38050,3,3,3,3,0.0,2
1150918,00645,富邦日本,139717,8064598,57,58,57,57,0.4,274
1150918,00646,元大S&P500,2086029,159581466,76,76,76,76,0.3,3351
1150918,00647L,元大S&P500正2,27030,3692141,136,136,136,136,1.7,62
1150918,00648R,元大S&P500反1,617491,2431826,3,3,3,3,-0.03,50
1150918,00650L,復華香港正2,1424128,23161647,16,16,16,16,0.36,366
1150918,00651R,復華香港反1,421598,2223886,5,5,5,5,-0.05,35
1150918,00652,富邦印度,173003,5532051,32,32,31,31,-0.03,233
1150918,00653L,富邦印度正2,56156,2424766,43,43,43,43,0.11,63
1150918,00654R,富邦印度反1,23150,160961,6,6,6,6,-0.02,6
1150918,00655L,國泰中國A50正2,364660,11964696,32,33,32,33,0.53,143
1150918,00656R,國泰中國A50反1,13980,82821,5,5,5,5,-0.06,5
1150918,00657,國泰日經225,166362,12803169,76,77,76,77,1.35,91
1150918,00657K,國泰日經225+U,200,4874,24,24,24,24,0.47,2
1150918,00660,元大歐洲50,31855,1460062,45,45,45,45,-0.06,84
1150918,00661,元大日經225,111039,9323226,83,84,83,84,1.3,171
1150918,00662,富邦NASDAQ,3871078,465592189,120,120,119,120,1.3,2756
1150918,00663L,國泰臺灣加權正2,5615308,604571976,107,108,106,108,3.85,3501
1150918,00664R,國泰臺灣加權反1,25902818,40630055,1,1,1,1,-0.03,1202
1150918,00665L,富邦恒生國企正2,7332451,65275632,8,8,8,8,0.15,596
1150918,00666R,富邦恒生國企反1,16110,149509,9,9,9,9,-0.08,15
1150918,00668,國泰美國道瓊,388875,23475289,60,60,60,60,0.05,150
1150918,00668K,國泰美國道瓊+U,200,3790,18,18,18,18,0.11,2
1150918,00669R,國泰美國道瓊反1,1351000,7193450,5,5,5,5,-0.02,47
1150918,00670L,富邦NASDAQ正2,444844,88001522,197,199,196,199,5.1,623
1150918,00671R,富邦NASDAQ反1,10421998,25267358,2,2,2,2,-0.04,226
1150918,00673R,期元大S&P原油反1,25136743,257262590,10,10,10,10,0.11,2786
1150918,00674R,期元大S&P黃金反1,193358,5429634,28,28,27,28,-0.52,65
1150918,00675L,富邦臺灣加權正2,1365469,445616781,325,329,322,329,11.5,1786
1150918,00676R,富邦臺灣加權反1,13904692,74491292,5,5,5,5,-0.11,881
1150918,00678,群益那斯達克生技,458569,19790619,43,43,43,43,0.81,194
1150918,00680L,元大美債20正2,9714444,61532622,6,6,6,6,0.13,645
1150918,00681R,元大美債20反1,3140,68511,21,21,21,21,-0.24,4
1150918,00682U,期元大美元指數,0,0,0,0,0,0,0.0,0
1150918,00683L,期元大美元指正2,22447,487953,21,21,21,21,-0.05,8
1150918,00684R,期元大美元指反1,2200,33048,15,15,15,15,-0.02,3
1150918,00685L,群益臺灣加權正2,266450607,3279218165,12,12,12,12,0.44,41854
1150918,00686R,群益臺灣加權反1,18804515,17941715,0,0,0,0,-0.02,312
1150918,00688L,國泰20年美債正2,4138440,26144537,6,6,6,6,0.13,299
1150918,00689R,國泰20年美債反1,1131,25899,22,22,22,22,-0.25,2
1150918,00690,兆豐藍籌30,677017,54005978,79,80,79,80,2.0,606
1150918,00692,富邦公司治理,1110897,104484049,94,94,93,94,1.55,1274
1150918,00693U,期街口S&P黃豆,1133893,27079274,24,24,23,23,-0.44,343
1150918,00700,富邦恒生國企,137887,2328390,16,16,16,16,0.17,136
1150918,00701,國泰股利精選30,684191,28756693,42,42,41,42,-0.05,1156
1150918,00702,國泰標普低波高息,135855,3286457,24,24,24,24,-0.07,84
1150918,00703,台新MSCI中國,5173,97567,18,18,18,18,0.16,5
1150918,00706L,期元大S&P日圓正2,2184691,42503614,19,19,19,19,-0.34,507
1150918,00707R,期元大S&P日圓反1,52000,1652580,31,31,31,31,0.0,4
1150918,00708L,期元大S&P黃金正2,4694785,371284804,79,79,78,79,2.75,2585
1150918,00709,富邦歐洲,52706,2097398,39,39,39,39,-0.13,161
1150918,00710B,復華彭博非投等債,281821,5295923,18,18,18,18,-0.01,71
1150918,00711B,復華彭博新興債,130074,1984379,15,15,15,15,0.0,7
1150918,00712,復華富時不動產,112088993,893587367,7,7,7,7,-0.05,24001
1150918,00713,元大台灣高息低波,7560837,491342843,65,65,64,65,0.15,5160
1150918,00714,群益道瓊美國地產,115460,2438900,21,21,21,21,-0.08,24
1150918,00715L,期街口布蘭特正2,3898670,260920556,67,67,66,66,-2.4,1489
1150918,00717,富邦美國特別股,193455,2835936,14,14,14,14,0.08,161
1150918,00728,第一金工業30,404915,28029413,68,69,68,69,0.0,470
1150918,00730,富邦臺灣優質高息,209115,6012055,28,28,28,28,0.56,332
1150918,00731,復華富時高息低波,2163518,213792643,100,100,98,99,-0.25,2946
1150918,00733,富邦臺灣中小,389789,26474447,67,68,67,68,1.85,587
1150918,00735,國泰臺韓科技,988875,103565126,104,105,104,105,2.65,1473
1150918,00736,國泰新興市場,347992,10997653,31,31,31,31,0.3,117
1150918,00737,國泰AI機器人,224545,9083890,40,40,40,40,0.58,214
1150918,00738U,期元大道瓊白銀,3489958,182305598,52,52,51,52,2.2,1656
1150918,00739,元大MSCI A股,27335,751971,27,27,27,27,0.29,85
1150918,00752,中信中國50,532800,11925303,22,22,22,22,0.08,309
1150918,00753L,中信中國50正2,9920956,87733146,8,8,8,8,0.12,1270
1150918,00757,統一FANG+,1440893,202155887,140,140,139,140,1.25,1484
1150918,00762,元大全球AI,156211,17997906,114,115,114,115,2.0,371
1150918,00763U,期街口道瓊銅,286196,9923414,34,34,34,34,0.51,191
1150918,00770,國泰北美科技,834544,52448893,62,63,62,63,0.8,865
1150918,00771,元大US高息特別股,12550,190728,15,15,15,15,-0.02,70
1150918,00775B,台新投等債15+,80000,2456000,30,30,30,30,0.05,2
1150918,00783,富邦中証500,317298,8801333,27,28,27,28,0.47,104
1150918,00830,國泰費城半導體,7428945,608082970,81,82,81,82,1.65,6032
1150918,00850,元大臺灣ESG永續,573749,53622499,93,94,93,93,1.6,1136
1150918,00851,台新全球AI,25271,1775178,70,70,70,70,0.35,78
