證券代號,大戶比例_本週,千張比例_本週,散戶比例_本週,大戶比例_上週,千張比例_上週,散戶比例_上週,大戶本週增減,千張本週增減,散戶本週增減
7950,95.34,95.34,4.65,0.0,0.0,0.0,95.34,95.34,4.65
4118O,90.11,90.11,9.83,0.0,0.0,0.0,90.11,90.11,9.83
6550O,76.61,73.07,23.32,0.0,0.0,0.0,76.61,73.07,23.32
1441O,65.0,58.35,34.93,0.0,0.0,0.0,65.0,58.35,34.93
6536,58.260000000000005,53.2,41.69,0.0,0.0,0.0,58.260000000000005,53.2,41.69
1441,100.0,100.0,0.0,65.0,58.35,34.93,35.0,41.65,-34.93
6550,100.0,100.0,0.0,76.61,73.07,23.32,23.39,26.930000000000007,-23.32
009828,31.46,28.05,68.46,13.4,9.16,86.53,18.060000000000002,18.89,-18.070000000000007
3543,61.83,49.68,38.089999999999996,49.97,33.28,49.94,11.86,16.4,-11.850000000000001
00640L,39.2,24.35,60.73,28.3,0.0,71.65,10.900000000000002,24.35,-10.920000000000009
00411A,38.620000000000005,31.53,61.3,29.0,19.77,70.91,9.620000000000005,11.760000000000002,-9.61
00657,22.91,0.0,77.02,15.05,0.0,84.88,7.859999999999999,0.0,-7.859999999999999
00409A,46.010000000000005,33.74,53.93,38.22,25.25,61.72,7.790000000000006,8.490000000000002,-7.789999999999999
8150,67.66,60.71,32.27,60.22,53.66,39.69,7.439999999999998,7.050000000000004,-7.419999999999995
00405A,24.810000000000002,18.94,75.12,17.85,11.49,82.08,6.960000000000001,7.450000000000001,-6.959999999999994
00947,29.29,24.19,70.65,22.470000000000002,18.26,77.48,6.819999999999997,5.93,-6.829999999999998
00402A,27.25,20.93,72.67,20.75,13.54,79.17,6.5,7.390000000000001,-6.5
3094,29.340000000000003,24.76,70.6,22.92,14.98,76.99,6.420000000000002,9.780000000000001,-6.390000000000001
4554,58.410000000000004,57.06,41.519999999999996,52.18,50.62,47.769999999999996,6.230000000000004,6.440000000000005,-6.25
00407A,29.66,23.52,70.26,23.64,16.8,76.28,6.02,6.719999999999999,-6.019999999999996
00403A,21.090000000000003,16.1,78.82000000000001,15.25,9.76,84.67,5.840000000000003,6.340000000000002,-5.849999999999994
2409,56.040000000000006,51.7,43.89,50.230000000000004,45.71,49.7,5.810000000000002,5.990000000000002,-5.810000000000002
2033,84.07000000000001,77.4,15.860000000000001,78.33000000000001,66.76,21.58,5.739999999999995,10.64,-5.719999999999997
3016,75.39,71.77,24.52,69.89999999999999,66.35,30.05,5.490000000000009,5.420000000000002,-5.530000000000001
6257,52.48,42.8,47.46,47.41,37.89,52.53,5.07,4.909999999999997,-5.07
00410A,34.51,28.63,65.41,29.67,22.61,70.24,4.839999999999996,6.02,-4.829999999999998
00928,24.54,17.54,75.38000000000001,19.93,9.2,80.0,4.609999999999999,8.34,-4.61999999999999
00920,23.81,8.03,76.10000000000001,19.26,7.57,80.65,4.549999999999997,0.4599999999999991,-4.549999999999997
00643,45.35,31.88,54.58,40.89,27.26,59.050000000000004,4.460000000000001,4.619999999999997,-4.470000000000006
00981A,22.59,18.2,77.35,18.2,13.58,81.84,4.390000000000001,4.619999999999999,-4.490000000000009
6456,54.46,50.32,45.49,50.07,45.79,49.85,4.390000000000001,4.530000000000001,-4.359999999999999
009822,16.52,9.56,83.41,12.129999999999999,5.64,87.8,4.390000000000001,3.920000000000001,-4.390000000000001
2449,64.9,58.92,35.04,60.64,54.88,39.27,4.260000000000005,4.039999999999999,-4.230000000000004
00909,16.15,11.46,83.78,12.03,6.5,87.9,4.119999999999999,4.960000000000001,-4.1200000000000045
3624,57.26,50.14,42.660000000000004,53.260000000000005,45.92,46.68,3.999999999999993,4.219999999999999,-4.019999999999996
1727,68.87,62.27,31.06,64.88,57.82,35.04,3.990000000000009,4.450000000000003,-3.9800000000000004
1569,55.16,46.68,44.78,51.199999999999996,42.66,48.72,3.960000000000001,4.020000000000003,-3.9399999999999977
00645,30.2,17.33,69.73,26.409999999999997,16.56,73.53,3.7900000000000027,0.7699999999999996,-3.799999999999997
6168,55.98,53.18,43.95,52.199999999999996,49.12,47.74,3.780000000000001,4.060000000000002,-3.789999999999999
6823,58.89,54.97,41.05,55.260000000000005,50.99,44.67,3.6299999999999955,3.979999999999997,-3.6200000000000045
6825,76.95,65.89,22.96,73.37,61.71,26.57,3.5799999999999983,4.18,-3.6099999999999994
00994A,19.65,13.84,80.28,16.130000000000003,10.41,83.8,3.519999999999996,3.4299999999999997,-3.519999999999996
00987A,17.31,12.43,82.61,13.82,9.98,86.08,3.4899999999999984,2.4499999999999993,-3.469999999999999
6426,53.730000000000004,38.38,46.18,50.269999999999996,38.79,49.65,3.460000000000008,-0.4099999999999966,-3.469999999999999
00736,76.27000000000001,45.67,23.67,72.85000000000001,41.59,27.08,3.4200000000000017,4.079999999999998,-3.4099999999999966
4770,67.9,59.7,32.03,64.54,59.7,35.37,3.3599999999999994,0.0,-3.3399999999999963
00404A,17.75,13.66,82.17,14.420000000000002,10.22,85.51,3.3299999999999983,3.4399999999999995,-3.3400000000000034
2342,40.22,35.55,59.71,36.94,32.65,63.010000000000005,3.280000000000001,2.8999999999999986,-3.3000000000000043
00666R,84.1,71.86,15.84,80.86,68.5,19.07,3.239999999999995,3.3599999999999994,-3.2300000000000004
00668,34.93,34.93,65.0,31.82,20.87,68.1,3.1099999999999994,14.059999999999999,-3.0999999999999943
