證券代號,大戶比例_本週,千張比例_本週,散戶比例_本週,大戶比例_上週,千張比例_上週,散戶比例_上週,本週增減,千張本週增減,散戶本週增減,上週增減,分類
6536,58.260000000000005,53.2,41.69,0.0,0.0,0.0,58.260000000000005,53.2,41.69,-74.27,回頭車
009828,31.46,28.05,68.46,13.4,9.16,86.53,18.060000000000002,18.89,-18.070000000000007,-14.289999999999997,回頭車
00411A,38.620000000000005,31.53,61.3,29.0,19.77,70.91,9.620000000000005,11.760000000000002,-9.61,-2.629999999999999,回頭車
00657,22.91,0.0,77.02,15.05,0.0,84.88,7.859999999999999,0.0,-7.859999999999999,4.98,續買
8150,67.66,60.71,32.27,60.22,53.66,39.69,7.439999999999998,7.050000000000004,-7.419999999999995,-1.3999999999999986,回頭車
00947,29.29,24.19,70.65,22.470000000000002,18.26,77.48,6.819999999999997,5.93,-6.829999999999998,1.2500000000000036,續買
3094,29.340000000000003,24.76,70.6,22.92,14.98,76.99,6.420000000000002,9.780000000000001,-6.390000000000001,6.109999999999999,續買
2409,56.040000000000006,51.7,43.89,50.230000000000004,45.71,49.7,5.810000000000002,5.990000000000002,-5.810000000000002,2.8599999999999994,續買
6257,52.48,42.8,47.46,47.41,37.89,52.53,5.07,4.909999999999997,-5.07,1.480000000000004,續買
00410A,34.51,28.63,65.41,29.67,22.61,70.24,4.839999999999996,6.02,-4.829999999999998,-6.5,回頭車
00920,23.81,8.03,76.10000000000001,19.26,7.57,80.65,4.549999999999997,0.4599999999999991,-4.549999999999997,-2.9599999999999973,回頭車
00981A,22.59,18.2,77.35,18.2,13.58,81.84,4.390000000000001,4.619999999999999,-4.490000000000009,-1.6099999999999994,回頭車
009822,16.52,9.56,83.41,12.129999999999999,5.64,87.8,4.390000000000001,3.920000000000001,-4.390000000000001,1.7599999999999998,續買
1727,68.87,62.27,31.06,64.88,57.82,35.04,3.990000000000009,4.450000000000003,-3.9800000000000004,5.859999999999999,續買
00645,30.2,17.33,69.73,26.409999999999997,16.56,73.53,3.7900000000000027,0.7699999999999996,-3.799999999999997,2.429999999999996,續買
6168,55.98,53.18,43.95,52.199999999999996,49.12,47.74,3.780000000000001,4.060000000000002,-3.789999999999999,5.390000000000001,續買
00994A,19.65,13.84,80.28,16.130000000000003,10.41,83.8,3.519999999999996,3.4299999999999997,-3.519999999999996,-2.229999999999997,回頭車
6426,53.730000000000004,38.38,46.18,50.269999999999996,38.79,49.65,3.460000000000008,-0.4099999999999966,-3.469999999999999,5.159999999999997,續買
00736,76.27000000000001,45.67,23.67,72.85000000000001,41.59,27.08,3.4200000000000017,4.079999999999998,-3.4099999999999966,-1.4699999999999847,回頭車
00404A,17.75,13.66,82.17,14.420000000000002,10.22,85.51,3.3299999999999983,3.4399999999999995,-3.3400000000000034,-4.259999999999998,回頭車
00982T,17.94,0.0,82.0,15.049999999999999,6.26,84.89,2.8900000000000023,-6.26,-2.8900000000000006,-18.480000000000004,回頭車
